id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
15,Youtube LW,Ngapain ngaku kalau memang tidak salah. Bebaskan Jessica Wongso!,UgyCPobobswmIC_wVhV4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyCPobobswmIC_wVhV4AaABAg,10/6/2023 20:45,0,Ngapain ngaku kalau memang tidak salah. Bebaskan Jessica Wongso!,http://www.youtube.com/channel/UCJCUTekesjcCT0fD33Z4gbA
16,Eka Fáng Fáng,Si arif itu di periksa....,UgzGVpvKmv_KqK-Fgk94AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzGVpvKmv_KqK-Fgk94AaABAg,10/6/2023 20:09,0,Si arif itu di periksa....,http://www.youtube.com/channel/UCaX3UzJ1rkjs__X_YbV0YPw
17,Lamiani Sinaga,"semangat jes, semoga ada keajaiban, kami mendukung mu",Ugw7vHnr2fcHkGcgwv14AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugw7vHnr2fcHkGcgwv14AaABAg,10/6/2023 20:04,0,"semangat jes, semoga ada keajaiban, kami mendukung mu",http://www.youtube.com/channel/UCLwR9QKl3s9PuUnFsOaEB-A
18,Yoel Adisucipto,Kalo itu sig minta pengampunan sama saja mrlindungi hukum yg bobrok itu dan mrlindungi pelaku2 penyalag gunaan hukum....banding aja...lawan hukum yg bobrok itu yg ada kejanggalan...harus lawan kalo perlu segenap masyarakat ikut berpartisiasi...menguak kebenaran harus ditegakkan ini jaman modern jaman online bg hotman...jangan saranin dia mengaku bukan kesalahan....lawan hukum yg bobrok kuak kebenaran..,Ugxy9o9kA4NMMZJY9_x4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugxy9o9kA4NMMZJY9_x4AaABAg,10/6/2023 14:05,0,Kalo itu sig minta pengampunan sama saja mrlindungi hukum yg bobrok itu dan mrlindungi pelaku2 penyalag gunaan hukum....banding aja...lawan hukum yg bobrok itu yg ada kejanggalan...harus lawan kalo perlu segenap masyarakat ikut berpartisiasi...menguak kebenaran harus ditegakkan ini jaman modern jaman online bg hotman...jangan saranin dia mengaku bukan kesalahan....lawan hukum yg bobrok kuak kebenaran..,http://www.youtube.com/channel/UCB3hf_0aHVTlYU9XOCHHo-A
19,Muhammad miftahudin Mukhlis,Sabar jesss gw berpihak ke dirimu... semangat orang kuat❤😊,UgwavAmggIgy_QfNwCV4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwavAmggIgy_QfNwCV4AaABAg,10/6/2023 13:19,0,Sabar jesss gw berpihak ke dirimu... semangat orang kuat❤😊,http://www.youtube.com/channel/UCnIdzKLEmWP-xBHLkVWhibw
20,kacamata putih,Ada isu soal warisan gede dari asuransi milik Mirna? Jessica tidak punya motif untuk membunuh Mirna. Lalu siapa? Mari kita bertanya pada kuburan Mirna 🤭,UgzC0rqlmMQZOgPdvTZ4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzC0rqlmMQZOgPdvTZ4AaABAg,10/6/2023 12:48,0,Ada isu soal warisan gede dari asuransi milik Mirna? Jessica tidak punya motif untuk membunuh Mirna. Lalu siapa? Mari kita bertanya pada kuburan Mirna 🤭,http://www.youtube.com/channel/UCgftF01g2g6KspDAbYLwqTQ
21,Ami fabian,Sisa 12th lagi atau 13th lg,UgxdC5UO5nTYjpFa2up4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgxdC5UO5nTYjpFa2up4AaABAg,10/6/2023 11:53,0,Sisa 12th lagi atau 13th lg,http://www.youtube.com/channel/UCMwpC2vSrTI_Q-g9NfRP_AQ
22,Alexandro Tantri,Jd ciapa donk yg bunuh Mirna sebenernya,UgzgyoVJpFb7c7U3N6p4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzgyoVJpFb7c7U3N6p4AaABAg,10/6/2023 11:41,0,Jd ciapa donk yg bunuh Mirna sebenernya,http://www.youtube.com/channel/UCwm18zN4L6ARi2UUflnKtkg
23,Gurung Lecha,Jesica jgn pernah takut dalam kebenaran. Jika benar kamu tidak bersalah iklaskanlah karna Hanya pengadilan Tuhan lah yg benar dan adil.,Ugx6OKcR5TjQbQd0ZId4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugx6OKcR5TjQbQd0ZId4AaABAg,10/6/2023 11:31,0,Jesica jgn pernah takut dalam kebenaran. Jika benar kamu tidak bersalah iklaskanlah karna Hanya pengadilan Tuhan lah yg benar dan adil.,http://www.youtube.com/channel/UCckagKEkC_VLM1pKJgcs0uw
24,Evelyn,Gak mau Jessica nya Bang . Ada di podcast om deddy,UgyOMmjM21JT5L77zJt4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyOMmjM21JT5L77zJt4AaABAg,10/6/2023 10:23,0,Gak mau Jessica nya Bang . Ada di podcast om deddy,http://www.youtube.com/channel/UCf10vZMW_a_Chfzpt87Fgmg
25,Chiki Lyani,"Kalo aku ga merasa bersalah,ogah mengakui Lebih baik aku menjalani hukuman yg tdk aku lakukan Biarlah Tuhan yg akan membalas Nya Tabur tuai 😢",Ugw2MmK2aEfxzRxSssB4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugw2MmK2aEfxzRxSssB4AaABAg,10/6/2023 9:54,0,"Kalo aku ga merasa bersalah,ogah mengakui Lebih baik aku menjalani hukuman yg tdk aku lakukan Biarlah Tuhan yg akan membalas Nya Tabur tuai 😢",http://www.youtube.com/channel/UCOEcDWc01oiJZKhT4HuwBdQ
26,Remon Ju,"Begini saja jika hotman paris sengaja berbohong dengan mengatakan jesika tak terlibat dalam pembunuhan mirna,saya minta pada Tuhan Yesus utk mematikan hotman paris dalam waktu satu tahun dari sekarang terhitung dari tgl 06 oktober 2023",UgyD9d5AVf5_BGvQ0Ix4AaABAg,,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyD9d5AVf5_BGvQ0Ix4AaABAg,10/6/2023 8:34,0,"Begini saja jika hotman paris sengaja berbohong dengan mengatakan jesika tak terlibat dalam pembunuhan mirna,saya minta pada Tuhan Yesus utk mematikan hotman paris dalam waktu satu tahun dari sekarang terhitung dari tgl 06 oktober 2023",http://www.youtube.com/channel/UCGc5_b7Mj61JiOMIYF2fNtQ
27,"zam,upin KL10","Mohon pihak berwajib desak SAMBO. Sambo pasti tahu semua hal2 yg terkait kasus ini..aku yakin kupulan sambo tahu..desak paksa org2 yg pertama kali tangani kasus ni, pasti kasus ni bisa di pecahkn..😏👍😏🤭🤣🤣🤣🤣🤣🤣",UgzP9gfdTRPxdFvTcFZ4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzP9gfdTRPxdFvTcFZ4AaABAg,10/6/2023 6:01,0,"Mohon pihak berwajib desak SAMBO. Sambo pasti tahu semua hal2 yg terkait kasus ini..aku yakin kupulan sambo tahu..desak paksa org2 yg pertama kali tangani kasus ni, pasti kasus ni bisa di pecahkn..😏👍😏🤭🤣🤣🤣🤣🤣🤣",http://www.youtube.com/channel/UCeF6I7Lt61Od3Y-JqQd_rvw
28,suprih atin,Ayah dan suami mirna dalang kematian mirna,Ugx8Hbmd0EtJ_aNAj_t4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugx8Hbmd0EtJ_aNAj_t4AaABAg,10/6/2023 5:49,0,Ayah dan suami mirna dalang kematian mirna,http://www.youtube.com/channel/UCtysiuV5J2k3AHwWJmRnNAg
29,anna love Official,Smgtt Mbk Jesikaa yaa,UgzmzyGvlotmC2JtK9l4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzmzyGvlotmC2JtK9l4AaABAg,10/6/2023 1:07,0,Smgtt Mbk Jesikaa yaa,http://www.youtube.com/channel/UCIx8JYZ459BXuS4CyurpXnA
